pays,annee,all,00-14,15-29,30-44,45-59,60+,M,M 00-14,M 15-29,M 30-44,M 45-59,M 60+,F,F 00-14,F 15-29,F 30-44,F 45-59,F 60+
Azerbaijan,1995,13.19,1.63,22.189999999999998,15.98,14.34,13.479999999999999,23.61,2.38,40.489999999999995,27.54,25.64,25.61,3.55,0.8300000000000001,2.8800000000000003,5.359999999999999,4.21,6.76
Azerbaijan,1996,14.7,2.4099999999999997,18.93,19.96,18.87,17.9,25.3,3.0700000000000003,34.22,34.65,31.709999999999997,30.33,4.95,1.73,2.5900000000000003,6.5200000000000005,7.33,10.92
Azerbaijan,1997,13.49,2.21,18.93,17.92,16.25,15.43,22.61,2.98,32.21,31.18,25.33,26.79,4.94,1.38,4.659999999999999,5.74,8.1,7.6
Azerbaijan,1998,12.34,2.26,16.47,15.379999999999999,15.850000000000001,15.7,20.59,3.16,29.630000000000003,26.07,24.020000000000003,25.71,4.58,1.31,2.52,5.62,8.44,8.940000000000001
Azerbaijan,1999,10.36,1.59,13.239999999999998,14.57,13.08,12.41,17.71,2.0,23.43,25.369999999999997,20.75,22.64,3.6999999999999997,1.18,2.49,4.73,6.1899999999999995,6.59
Azerbaijan,2000,9.32,1.67,9.34,13.06,13.28,14.0,15.23,2.09,15.61,22.79,21.560000000000002,21.22,3.99,1.2000000000000002,3.3699999999999997,4.16,5.6000000000000005,8.92
Azerbaijan,2001,,,,,,,,,,,,,,,,,,
Azerbaijan,2002,,,,,,,,,,,,,,,,,,
Azerbaijan,2003,,,,,,,,,,,,,,,,,,
Azerbaijan,2004,,,,,,,,,,,,,,,,,,
Azerbaijan,2005,,,,,,,,,,,,,,,,,,
Azerbaijan,2006,,,,,,,,,,,,,,,,,,
Azerbaijan,2007,,,,,,,,,,,,,,,,,,
Azerbaijan,2008,,,,,,,,,,,,,,,,,,
Bahrain,1970,,,,,,,,,,,,,,,,,,
Bahrain,1971,,,,,,,,,,,,,,,,,,
Bahrain,1972,,,,,,,,,,,,,,,,,,
Bahrain,1973,,,,,,,,,,,,,,,,,,
Bahrain,1974,,,,,,,,,,,,,,,,,,
Bahrain,1975,,,,,,,,,,,,,,,,,,
Bahrain,1976,,,,,,,,,,,,,,,,,,
Bahrain,1977,,,,,,,,,,,,,,,,,,
Bahrain,1978,,,,,,,,,,,,,,,,,,
Bahrain,1979,,,,,,,,,,,,,,,,,,
