pays,annee,total,male,female,F 00-14,M 00-14,F 15-29,M 15-29,F 30-44,M 30-44,F 45-59,M 45-59,F 60+,M 60+,00-14,15-29,30-44,45-59,60+
Austria,1979,7549425.0,3569618,3979807,778737.0,814756.0,825341.0,849523.0,771087.0,777676.0,701543.0,588862.0,903099.0,538801.0,1593493.0,1674864.0,1548763.0,1290405.0,1441900.0
Austria,1980,7549433.0,3572232,3977201,756917.0,792316.0,840071.0,865154.0,776816.0,782909.0,702490.0,601218.0,900907.0,530635.0,1549233.0,1705225.0,1559725.0,1303708.0,1431542.0
Austria,1981,7568710.0,3584241,3984469,738643.0,773277.0,857282.0,883059.0,781541.0,786798.0,699599.0,610460.0,907404.0,530647.0,1511920.0,1740341.0,1568339.0,1310059.0,1438051.0
Austria,1982,7574140.0,3589984,3984156,719866.0,753776.0,873126.0,899827.0,782424.0,787285.0,691037.0,616568.0,917703.0,532528.0,1473642.0,1772953.0,1569709.0,1307605.0,1450231.0
Austria,1983,7561910.0,3587587,3974323,700690.0,733919.0,885601.0,913345.0,779854.0,784704.0,679406.0,620567.0,928772.0,535052.0,1434609.0,1798946.0,1564558.0,1299973.0,1463824.0
Austria,1984,7561434.0,3590946,3970488,684017.0,716783.0,896138.0,924998.0,778195.0,783328.0,671950.0,626986.0,940188.0,538851.0,1400800.0,1821136.0,1561523.0,1298936.0,1479039.0
Austria,1985,7564985.0,3596364,3968621,669099.0,701622.0,902614.0,932522.0,777609.0,783249.0,670642.0,636382.0,948657.0,542589.0,1370721.0,1835136.0,1560858.0,1307024.0,1491246.0
Austria,1986,7569794.0,3602463,3967331,659244.0,691026.0,906102.0,935751.0,776610.0,782226.0,671795.0,644310.0,953580.0,549150.0,1350270.0,1841853.0,1558836.0,1316105.0,1502730.0
Austria,1987,7574586.0,3608671,3965915,647948.0,679235.0,905531.0,934915.0,777189.0,783173.0,678751.0,655147.0,956496.0,556201.0,1327183.0,1840446.0,1560362.0,1333898.0,1512697.0
Austria,1988,7585317.0,3618029,3967288,637702.0,668759.0,901182.0,930384.0,780278.0,786961.0,690067.0,668318.0,958059.0,563607.0,1306461.0,1831566.0,1567239.0,1358385.0,1521666.0
Austria,1989,7619567.0,3639196,3980371,632593.0,663811.0,894863.0,924104.0,788108.0,795732.0,704272.0,683735.0,960535.0,571814.0,1296404.0,1818967.0,1583840.0,1388007.0,1532349.0
Austria,1990,7677850.0,3672618,4005232,634031.0,665850.0,886570.0,916114.0,801012.0,809757.0,719500.0,700444.0,964119.0,580453.0,1299881.0,1802684.0,1610769.0,1419944.0,1544572.0
Austria,1991,7754891.0,3715871,4039020,641099.0,673540.0,884971.0,915836.0,816253.0,828228.0,726126.0,707763.0,970571.0,590504.0,1314639.0,1800807.0,1644481.0,1433889.0,1561075.0
Austria,1992,7840709.0,3764035,4076674,654619.0,688108.0,879309.0,910668.0,836188.0,852141.0,732006.0,714520.0,974552.0,598598.0,1342727.0,1789977.0,1688329.0,1446526.0,1573150.0
Austria,1993,7905633.0,3802473,4103160,669873.0,704449.0,867674.0,898610.0,857577.0,878137.0,734525.0,718131.0,973511.0,603146.0,1374322.0,1766284.0,1735714.0,1452656.0,1576657.0
Austria,1994,7936118.0,3824118,4112000,680998.0,716378.0,851278.0,881022.0,878766.0,904351.0,732923.0,717846.0,968035.0,604521.0,1397376.0,1732300.0,1783117.0,1450769.0,1572556.0
Austria,1995,7948278.0,3836304,4111974,686211.0,722016.0,833825.0,861921.0,901038.0,931779.0,729251.0,715692.0,961649.0,604896.0,1408227.0,1695746.0,1832817.0,1444943.0,1566545.0
Austria,1996,7959017.0,3847121,4111896,686054.0,722263.0,810161.0,837185.0,921163.0,953666.0,733563.0,720402.0,960955.0,613605.0,1408317.0,1647346.0,1874829.0,1453965.0,1574560.0
Austria,1997,7968041.0,3856495,4111546,680459.0,716690.0,788683.0,814938.0,942525.0,976550.0,737436.0,724900.0,962443.0,623417.0,1397149.0,1603621.0,1919075.0,1462336.0,1585860.0
Austria,1998,7976789.0,3865064,4111725,671206.0,707119.0,769531.0,795262.0,963358.0,998451.0,741332.0,729621.0,966298.0,634611.0,1378325.0,1564793.0,1961809.0,1470953.0,1600909.0
Austria,1999,7992324.0,3876199,4116125,662631.0,698018.0,752939.0,778273.0,981437.0,1016829.0,746188.0,735437.0,972930.0,647642.0,1360649.0,1531212.0,1998266.0,1481625.0,1620572.0
Austria,2000,8011566.0,3888395,4123171,656704.0,691414.0,738392.0,763382.0,994392.0,1029111.0,752008.0,742341.0,981675.0,662147.0,1348118.0,1501774.0,2023503.0,1494349.0,1643822.0
Austria,2001,8042293.0,3905356,4136937,650327.0,684952.0,734957.0,758327.0,1000753.0,1033099.0,757294.0,747607.0,993606.0,681371.0,1335279.0,1493284.0,2033852.0,1504901.0,1674977.0
Austria,2002,8081957.0,3925924,4156033,647457.0,681976.0,734500.0,756501.0,1002673.0,1031718.0,763612.0,753764.0,1007791.0,701965.0,1329433.0,1491001.0,2034391.0,1517376.0,1709756.0
Austria,2003,8121423.0,3945945,4175478,646046.0,680363.0,736037.0,757058.0,999785.0,1024864.0,771098.0,761057.0,1022512.0,722603.0,1326409.0,1493095.0,2024649.0,1532155.0,1745115.0
Austria,2004,8171966.0,3971306,4200660,644230.0,678305.0,740706.0,761283.0,995002.0,1015919.0,782363.0,772226.0,1038359.0,743573.0,1322535.0,1501989.0,2010921.0,1554589.0,1781932.0
Austria,2005,8227829.0,3999505,4228324,640151.0,673977.0,747725.0,768434.0,988728.0,1005521.0,797667.0,787667.0,1054053.0,763906.0,1314128.0,1516159.0,1994249.0,1585334.0,1817959.0
Austria,2006,8268641.0,4020734,4247907,635053.0,668195.0,753527.0,774115.0,976918.0,990486.0,814873.0,805395.0,1067536.0,782543.0,1303248.0,1527642.0,1967404.0,1620268.0,1850079.0
Austria,2007,8295487.0,4035484,4260003,626484.0,658907.0,760406.0,780974.0,960945.0,971354.0,833958.0,825477.0,1078210.0,798772.0,1285391.0,1541380.0,1932299.0,1659435.0,1876982.0
Austria,2008,8321496.0,4050212,4271284,616603.0,648370.0,767784.0,788524.0,943551.0,951011.0,855421.0,848352.0,1087925.0,813955.0,1264973.0,1556308.0,1894562.0,1703773.0,1901880.0
Azerbaijan,1970,5180025.0,2519911,2660114,1109002.0,1160668.0,515743.0,530860.0,532324.0,508986.0,253666.0,178560.0,249379.0,140837.0,2269670.0,1046603.0,1041310.0,432226.0,390216.0
Azerbaijan,1971,5284532.0,2573349,2711183,1116681.0,1167810.0,543210.0,562726.0,532667.0,509000.0,264884.0,189661.0,253741.0,144152.0,2284491.0,1105936.0,1041667.0,454545.0,397893.0
Azerbaijan,1972,5385267.0,2624774,2760493,1122533.0,1173778.0,578600.0,600043.0,523793.0,500062.0,277457.0,203665.0,258110.0,147226.0,2296311.0,1178643.0,1023855.0,481122.0,405336.0
Azerbaijan,1973,5483084.0,2674696,2808388,1125259.0,1176722.0,620402.0,642373.0,509398.0,485830.0,291098.0,220088.0,262231.0,149683.0,2301981.0,1262775.0,995228.0,511186.0,411914.0
Azerbaijan,1974,5579077.0,2723758,2855319,1122748.0,1174188.0,666280.0,688611.0,494991.0,471732.0,305622.0,238232.0,265678.0,150995.0,2296936.0,1354891.0,966723.0,543854.0,416673.0
Azerbaijan,1975,5674137.0,2772484,2901653,1114542.0,1165721.0,714353.0,737415.0,483758.0,460927.0,320817.0,257503.0,268183.0,150918.0,2280263.0,1451768.0,944685.0,578320.0,419101.0
Azerbaijan,1976,5768724.0,2821126,2947598,1105419.0,1156186.0,763318.0,787028.0,474323.0,451673.0,335054.0,276068.0,269484.0,150171.0,2261605.0,1550346.0,925996.0,611122.0,419655.0
Azerbaijan,1977,5863134.0,2869760,2993374,1091800.0,1142079.0,814154.0,838635.0,468186.0,445733.0,349173.0,294900.0,270061.0,148413.0,2233879.0,1652789.0,913919.0,644073.0,418474.0
